TimeUS,Type,pX,pY,pZ,Terrain,vX,vY,vZ,aX,aY,aZ,t_s
2483779786,2,416065440.0,-863565120.0,24936.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.78
2483816168,2,416065440.0,-863565120.0,24935.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.816
2483859472,2,416065440.0,-863565120.0,24934.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.859
2483896975,2,416065440.0,-863565120.0,24933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.897
2483944484,2,416065440.0,-863565120.0,24932.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.944
2483979740,2,416065440.0,-863565120.0,24931.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2483.98
2484026007,2,416065440.0,-863565120.0,24930.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.026
2484059565,2,416065440.0,-863565120.0,24928.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.06
2484099706,2,416065440.0,-863565120.0,24927.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.1
2484139828,2,416065440.0,-863565120.0,24926.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.14
2484179777,2,416065440.0,-863565120.0,24924.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.18
2484222001,2,416065440.0,-863565120.0,24923.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.222
2484262330,2,416065440.0,-863565120.0,24922.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.262
2484302217,2,416065440.0,-863565120.0,24921.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.302
2484342243,2,416065440.0,-863565120.0,24919.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.342
2484384457,2,416065440.0,-863565120.0,24918.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.384
2484426075,2,416065440.0,-863565120.0,24917.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.426
2484484323,2,416065440.0,-863565120.0,24915.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.484
2484504817,2,416065440.0,-863565120.0,24914.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.505
2484544674,2,416065472.0,-863565056.0,24913.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.545
2484587295,2,416065472.0,-863565056.0,24912.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.587
2484626112,2,416065472.0,-863565056.0,24910.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.626
2484667169,2,416065472.0,-863565056.0,24909.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.667
2484704840,2,416065472.0,-863565056.0,24908.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.705
2484746953,2,416065472.0,-863565056.0,24906.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.747
2484787409,2,416065472.0,-863565056.0,24905.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.787
2484826062,2,416065472.0,-863565056.0,24904.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.826
2484867220,2,416065472.0,-863565056.0,24903.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.867
2484906993,2,416065472.0,-863565056.0,24901.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.907
2484952238,2,416065472.0,-863564992.0,24900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.952
2484987424,2,416065472.0,-863564992.0,24899.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2484.987
2485030535,2,416065472.0,-863564992.0,24897.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.031
2485067194,2,416065472.0,-863564992.0,24896.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.067
2485106977,2,416065472.0,-863564992.0,24895.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.107
2485149805,2,416065472.0,-863564992.0,24894.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.15
2485189676,2,416065472.0,-863564928.0,24892.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.19
2485227985,2,416065472.0,-863564928.0,24891.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.228
2485269549,2,416065472.0,-863564928.0,24890.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.27
2485312395,2,416065472.0,-863564928.0,24888.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.312
2485352275,2,416065472.0,-863564928.0,24887.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.352
2485392220,2,416065472.0,-863564928.0,24886.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.392
2485430543,2,416065472.0,-863564864.0,24885.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.431
2485477341,2,416065472.0,-863564864.0,24883.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.477
2485518477,2,416065472.0,-863564864.0,24882.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.518
2485556915,2,416065472.0,-863564864.0,24881.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.557
2485592266,2,416065472.0,-863564864.0,24879.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.592
2485632099,2,416065472.0,-863564800.0,24878.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.632
2485677338,2,416065472.0,-863564800.0,24877.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.677
2485718403,2,416065472.0,-863564800.0,24875.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.718
2485757016,2,416065472.0,-863564800.0,24874.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.757
2485799776,2,416065472.0,-863564736.0,24873.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.8
2485834492,2,416065472.0,-863564736.0,24872.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.834
2485877324,2,416065472.0,-863564736.0,24870.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.877
2485918480,2,416065472.0,-863564736.0,24869.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.918
2485962213,2,416065472.0,-863564672.0,24868.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2485.962
2486002246,2,416065472.0,-863564672.0,24866.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.002
2486047161,2,416065472.0,-863564672.0,24865.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.047
2486077354,2,416065472.0,-863564672.0,24864.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.077
2486118506,2,416065472.0,-863564672.0,24863.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.119
2486156959,2,416065472.0,-863564608.0,24861.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.157
2486199792,2,416065472.0,-863564608.0,24860.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.2
2486242081,2,416065472.0,-863564608.0,24859.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2486.242
