TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2509429716,0,3,397615999,2382,13,0.79,41.6066145,-86.3560794,248.46,2.9177258014678955,10.48575496673584,-0.04700000211596489,0.0,0,2509.43
2509429733,1,3,397615999,2382,13,0.79,41.6066219,-86.35608549999999,247.05,2.9078052043914795,14.356433868408203,0.010000000707805157,0.0,1,2509.43
2509629850,0,3,397616199,2382,13,0.79,41.606619599999995,-86.3560779,248.42000000000002,3.062028408050537,13.291947364807129,0.014000000432133675,0.0,0,2509.63
2509629869,1,3,397616199,2382,13,0.79,41.6066271,-86.3560838,247.07,3.0458691120147705,13.557191848754883,-0.07900000363588333,0.0,1,2509.63
2509829941,0,3,397616399,2382,13,0.79,41.6066249,-86.3560761,248.4,3.06522536277771,14.394392013549805,0.030000001192092896,0.0,0,2509.83
2509829994,1,3,397616399,2382,13,0.79,41.606632499999996,-86.3560822,247.05,3.0527963638305664,14.008930206298828,-0.03400000184774399,0.0,1,2509.83
2510029782,0,3,397616599,2382,13,0.79,41.6066303,-86.3560742,248.37,3.1688284873962402,14.49232006072998,0.05100000277161598,0.0,0,2510.03
2510029798,1,3,397616599,2382,13,0.79,41.606638,-86.35608049999999,247.03,3.1368439197540283,13.513493537902832,-0.06000000238418579,0.0,1,2510.03
2510229690,0,3,397616799,2382,13,0.79,41.6066358,-86.3560723,248.37,3.20609712600708,13.84119701385498,0.020000001415610313,0.0,0,2510.23
2510229703,1,3,397616799,2382,13,0.79,41.6066435,-86.3560787,247.05,3.105380058288574,14.680642127990723,-0.09000000357627869,0.0,1,2510.23
2510429765,0,3,397616999,2382,13,0.79,41.6066413,-86.3560704,248.31,3.105544090270996,14.90883731842041,0.09000000357627869,0.0,0,2510.43
2510429779,1,3,397616999,2382,13,0.79,41.606648899999996,-86.3560768,247.03,3.1037862300872803,17.010438919067383,-0.04000000283122063,0.0,1,2510.43
2510629775,0,3,397617199,2382,13,0.79,41.6066466,-86.35606829999999,248.32,3.1056406497955322,16.287508010864258,0.06400000303983688,0.0,0,2510.63
2510629789,1,3,397617199,2382,13,0.79,41.606654299999995,-86.3560748,247.01000000000002,3.077174186706543,15.725440979003906,0.007000000216066837,0.0,1,2510.63
2510829729,0,3,397617399,2382,13,0.79,41.6066521,-86.3560662,248.3,3.2294888496398926,14.54399585723877,0.12300000339746475,0.0,0,2510.83
2510829819,1,3,397617399,2382,13,0.79,41.6066597,-86.3560727,246.95000000000002,3.056101083755493,18.031797409057617,0.02800000086426735,0.0,1,2510.83
2511029717,0,3,397617599,2382,13,0.79,41.606657399999996,-86.35606399999999,248.28,3.0593950748443604,19.495092391967773,0.08000000566244125,0.0,0,2511.03
2511029779,1,3,397617599,2382,13,0.79,41.606665,-86.3560705,246.92000000000002,3.0636494159698486,18.162899017333984,0.06300000101327896,0.0,1,2511.03
2511229596,0,3,397617799,2382,13,0.79,41.6066624,-86.35606159999999,248.25,2.860764503479004,19.05563735961914,0.12400000542402267,0.0,0,2511.23
2511229626,1,3,397617799,2382,13,0.79,41.606670099999995,-86.3560684,246.89000000000001,2.874553918838501,18.119792938232422,-0.012000000104308128,0.0,1,2511.23
2511429753,0,3,397617999,2382,13,0.79,41.606667099999996,-86.35605939999999,248.19,2.6999576091766357,18.327577590942383,0.005000000353902578,0.0,0,2511.43
2511429770,1,3,397617999,2382,13,0.79,41.6066749,-86.3560662,246.85,2.7042670249938965,21.156160354614258,0.12000000476837158,0.0,1,2511.43
2511629921,0,3,397618199,2382,13,0.79,41.6066716,-86.3560571,248.17000000000002,2.5864410400390625,22.241565704345703,0.14600001275539398,0.0,0,2511.63
2511629943,1,3,397618199,2382,13,0.79,41.6066794,-86.35606399999999,246.79,2.5645663738250732,21.262073516845703,0.15700000524520874,0.0,1,2511.63
2511829789,0,3,397618399,2382,13,0.79,41.6066757,-86.3560547,248.15,2.432206153869629,25.18482208251953,0.14600001275539398,0.0,0,2511.83
2511829804,1,3,397618399,2382,13,0.79,41.606683499999995,-86.35606179999999,246.78,2.357227325439453,21.972923278808594,0.058000002056360245,0.0,1,2511.83
2512029756,0,3,397618599,2382,13,0.79,41.6066794,-86.3560523,248.09,2.1177878379821777,25.718076705932617,0.15700000524520874,0.0,0,2512.03
2512029770,1,3,397618599,2382,13,0.79,41.6066873,-86.3560597,246.75,2.1456611156463623,24.9765625,0.03700000047683716,0.0,1,2512.03
2512229640,0,3,397618799,2382,13,0.79,41.6066826,-86.3560502,248.08,1.8945884704589844,25.077180862426758,0.07400000095367432,0.0,0,2512.23
2512229655,1,3,397618799,2382,13,0.79,41.6066905,-86.3560576,246.74,1.893057107925415,26.646263122558594,0.01600000075995922,0.0,1,2512.23
2512429724,0,3,397618999,2382,13,0.79,41.606685299999995,-86.3560483,248.08,1.6068072319030762,29.245092391967773,0.10000000149011612,0.0,0,2512.43
2512429739,1,3,397618999,2382,13,0.79,41.606693299999996,-86.3560558,246.73000000000002,1.549635410308838,26.151668548583984,-0.04200000315904617,0.0,1,2512.43
2512629811,0,3,397619199,2382,13,0.79,41.606687699999995,-86.3560466,248.06,1.3855512142181396,25.936262130737305,0.12400000542402267,0.0,0,2512.63
