TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
51283024,-2.682209014892578e-07,-3.609841314755613e-10,0.0,0.17597077786922455,0.35847383737564087,0.35847383737564087,0.76,nan,0.0,nan,12,12,51.283
51382939,-2.682209014892578e-07,-3.616094090830302e-10,0.0,0.17597077786922455,0.35612753033638,0.35612753033638,0.85,nan,0.0,nan,12,12,51.383
51482933,-2.682209014892578e-07,-3.61666252501891e-10,0.0,0.17597077786922455,0.35304099321365356,0.35304099321365356,0.71,nan,0.0,nan,11,11,51.483
51582932,-2.682209014892578e-07,-3.6143887882644776e-10,0.0,0.17597077786922455,0.3506503701210022,0.3506503701210022,0.63,nan,0.0,nan,11,11,51.583
51683003,-2.682209014892578e-07,-3.617230959207518e-10,0.0,0.17597077786922455,0.34793204069137573,0.34793204069137573,0.74,nan,0.0,nan,11,11,51.683
51783011,-2.682209014892578e-07,-3.617515176301822e-10,0.0,0.17597077786922455,0.343779981136322,0.343779981136322,0.7000000000000001,nan,0.0,nan,11,11,51.783
51882923,-2.682209014892578e-07,-3.616378307924606e-10,0.0,0.17597077786922455,0.33907896280288696,0.33907896280288696,0.8200000000000001,nan,0.0,nan,10,10,51.883
51982903,-2.682209014892578e-07,-3.615809873735998e-10,0.0,0.17597077786922455,0.33404988050460815,0.33404988050460815,0.8,nan,0.0,nan,10,10,51.983
52082916,-2.682209014892578e-07,-3.618652044679038e-10,0.0,0.17597077786922455,0.32951217889785767,0.32951217889785767,0.76,nan,0.0,nan,9,9,52.083
52182921,-2.682209014892578e-07,-3.617230959207518e-10,0.0,0.17597077786922455,0.3256019949913025,0.3256019949913025,0.74,nan,0.0,nan,9,9,52.183
52282901,-2.682209014892578e-07,-3.6143887882644776e-10,0.0,0.17597077786922455,0.3216424584388733,0.3216424584388733,0.54,nan,0.0,nan,9,9,52.283
52383001,-2.682209014892578e-07,-3.618652044679038e-10,0.0,0.17597077786922455,0.31733042001724243,0.31733042001724243,0.8,nan,0.0,nan,8,8,52.383
52482894,-2.682209014892578e-07,-3.624052169470815e-10,0.0,0.17597077786922455,0.31104034185409546,0.31104034185409546,0.87,nan,0.0,nan,8,8,52.483
52582950,-2.682209014892578e-07,-3.623767952376511e-10,0.0,0.17597077786922455,0.30461400747299194,0.30461400747299194,0.67,nan,0.0,nan,8,8,52.583
52682912,-2.682209014892578e-07,-3.624052169470815e-10,0.0,0.17597077786922455,0.29955393075942993,0.29955393075942993,0.79,nan,0.0,nan,7,7,52.683
