TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
51082825,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.083
51182788,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.183
51182823,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.183
51282783,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.283
51282900,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.283
51382776,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.383
51382793,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.383
51482765,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.483
51482782,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.483
51582759,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.583
51582795,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.583
51682849,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.683
51682867,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.683
51782847,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.783
51782874,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.783
51882773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.883
51882791,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.883
51982757,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.983
51982775,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,51.983
52082788,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.083
52082806,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.083
52182790,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.183
52182808,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.183
52282775,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.283
52282792,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.283
52382783,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.383
52382803,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.383
52482771,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.483
52482788,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.483
52582787,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.583
52582808,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.583
52682783,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.683
52682801,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.683
52782828,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.783
52782850,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.783
52882827,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.883
52882845,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.883
52982772,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,52.983
52982795,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,52.983
53082785,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.083
53082807,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.083
