TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,t_s
54982813,0,-86,255,451,7,3,-176,0,0,0,1,54982811,54.983
54982813,1,-90,210,450,98,121,-96,0,0,0,1,54982809,54.983
54982813,2,-225,263,349,0,0,0,0,0,0,1,54982807,54.983
55082809,0,-89,260,453,7,3,-176,0,0,0,1,55082807,55.083
55082809,1,-94,212,449,98,121,-96,0,0,0,1,55082805,55.083
55082809,2,-242,253,338,0,0,0,0,0,0,1,55082803,55.083
55182876,0,-86,258,455,7,3,-176,0,0,0,1,55182874,55.183
55182876,1,-94,214,445,98,121,-96,0,0,0,1,55182873,55.183
55182876,2,-225,229,349,0,0,0,0,0,0,1,55182871,55.183
55282824,0,-87,258,460,7,3,-176,0,0,0,1,55282809,55.283
55282824,1,-95,211,452,98,121,-96,0,0,0,1,55282808,55.283
55282824,2,-232,279,352,0,0,0,0,0,0,1,55282806,55.283
55382915,0,-85,263,455,7,3,-176,0,0,0,1,55382912,55.383
55382915,1,-89,207,451,98,121,-96,0,0,0,1,55382910,55.383
55382915,2,-225,227,359,0,0,0,0,0,0,1,55382909,55.383
55482846,0,-90,258,454,7,3,-176,0,0,0,1,55482844,55.483
55482846,1,-91,210,449,98,121,-96,0,0,0,1,55482842,55.483
55482846,2,-238,239,346,0,0,0,0,0,0,1,55482840,55.483
55582797,0,-88,259,456,7,3,-176,0,0,0,1,55582795,55.583
55582797,1,-94,211,442,98,121,-96,0,0,0,1,55582793,55.583
55582797,2,-231,249,348,0,0,0,0,0,0,1,55582791,55.583
55682851,0,-88,260,452,7,3,-176,0,0,0,1,55682849,55.683
55682851,1,-100,211,443,98,121,-96,0,0,0,1,55682847,55.683
55682851,2,-204,228,362,0,0,0,0,0,0,1,55682845,55.683
55782931,0,-86,257,456,7,3,-176,0,0,0,1,55782928,55.783
55782931,1,-99,207,448,98,121,-96,0,0,0,1,55782910,55.783
55782931,2,-227,265,348,0,0,0,0,0,0,1,55782908,55.783
55882850,0,-86,259,451,7,3,-176,0,0,0,1,55882847,55.883
55882850,1,-91,215,448,98,121,-96,0,0,0,1,55882846,55.883
55882850,2,-229,225,345,0,0,0,0,0,0,1,55882844,55.883
55982881,0,-89,260,454,7,3,-176,0,0,0,1,55982879,55.983
55982881,1,-93,212,445,98,121,-96,0,0,0,1,55982877,55.983
55982881,2,-259,282,357,0,0,0,0,0,0,1,55982876,55.983
56082812,0,-87,257,449,7,3,-176,0,0,0,1,56082810,56.083
56082812,1,-91,211,446,98,121,-96,0,0,0,1,56082809,56.083
56082812,2,-247,241,336,0,0,0,0,0,0,1,56082807,56.083
56182800,0,-87,255,451,7,3,-176,0,0,0,1,56182798,56.183
56182800,1,-95,214,447,98,121,-96,0,0,0,1,56182795,56.183
56182800,2,-236,267,367,0,0,0,0,0,0,1,56182793,56.183
56282834,0,-88,261,457,7,3,-176,0,0,0,1,56282832,56.283
56282834,1,-90,212,446,98,121,-96,0,0,0,1,56282830,56.283
56282834,2,-236,246,325,0,0,0,0,0,0,1,56282828,56.283
56382891,0,-87,261,455,7,3,-176,0,0,0,1,56382888,56.383
56382891,1,-90,210,449,98,121,-96,0,0,0,1,56382887,56.383
56382891,2,-227,231,339,0,0,0,0,0,0,1,56382884,56.383
56482791,0,-84,260,454,7,3,-176,0,0,0,1,56482788,56.483
56482791,1,-95,211,445,98,121,-96,0,0,0,1,56482787,56.483
56482791,2,-242,265,354,0,0,0,0,0,0,1,56482785,56.483
56582796,0,-87,259,456,7,3,-176,0,0,0,1,56582793,56.583
56582796,1,-98,217,449,98,121,-96,0,0,0,1,56582792,56.583
56582796,2,-237,245,344,0,0,0,0,0,0,1,56582790,56.583
56682845,0,-91,258,450,7,3,-176,0,0,0,1,56682842,56.683
56682845,1,-95,208,448,98,121,-96,0,0,0,1,56682829,56.683
56682845,2,-222,248,326,0,0,0,0,0,0,1,56682827,56.683
56782821,0,-88,257,457,7,3,-176,0,0,0,1,56782819,56.783
56782821,1,-95,210,445,98,121,-96,0,0,0,1,56782817,56.783
56782821,2,-263,202,342,0,0,0,0,0,0,1,56782816,56.783
56882852,0,-86,258,454,7,3,-176,0,0,0,1,56882850,56.883
56882852,1,-95,217,446,98,121,-96,0,0,0,1,56882848,56.883
56882852,2,-253,226,394,0,0,0,0,0,0,1,56882846,56.883
56982847,0,-88,256,456,7,3,-176,0,0,0,1,56982845,56.983
56982847,1,-94,210,446,98,121,-96,0,0,0,1,56982843,56.983
56982847,2,-212,241,355,0,0,0,0,0,0,1,56982842,56.983
57082805,0,-93,258,455,7,3,-176,0,0,0,1,57082803,57.083
57082805,1,-94,209,446,98,121,-96,0,0,0,1,57082801,57.083
57082805,2,-245,271,354,0,0,0,0,0,0,1,57082799,57.083
57182803,0,-88,258,451,7,3,-176,0,0,0,1,57182801,57.183
57182803,1,-96,211,451,98,121,-96,0,0,0,1,57182799,57.183
57182803,2,-273,246,375,0,0,0,0,0,0,1,57182798,57.183
57282822,0,-85,256,453,7,3,-176,0,0,0,1,57282819,57.283
57282822,1,-91,211,445,98,121,-96,0,0,0,1,57282817,57.283
57282822,2,-243,249,334,0,0,0,0,0,0,1,57282815,57.283
57382861,0,-88,257,458,7,3,-176,0,0,0,1,57382859,57.383
57382861,1,-92,209,447,98,121,-96,0,0,0,1,57382857,57.383
57382861,2,-233,228,358,0,0,0,0,0,0,1,57382855,57.383
57482977,0,-91,260,456,7,3,-176,0,0,0,1,57482975,57.483
57482977,1,-93,209,445,98,121,-96,0,0,0,1,57482973,57.483
57482977,2,-243,237,330,0,0,0,0,0,0,1,57482972,57.483
57582793,0,-89,257,454,7,3,-176,0,0,0,1,57582789,57.583
57582793,1,-95,214,443,98,121,-96,0,0,0,1,57582787,57.583
57582793,2,-239,269,338,0,0,0,0,0,0,1,57582786,57.583
57682812,0,-93,263,455,7,3,-176,0,0,0,1,57682808,57.683
57682812,1,-88,212,446,98,121,-96,0,0,0,1,57682806,57.683
57682812,2,-235,276,364,0,0,0,0,0,0,1,57682801,57.683
57782859,0,-86,255,453,7,3,-176,0,0,0,1,57782857,57.783
57782859,1,-94,209,448,98,121,-96,0,0,0,1,57782855,57.783
57782859,2,-226,241,365,0,0,0,0,0,0,1,57782853,57.783
57882863,0,-86,257,449,7,3,-176,0,0,0,1,57882861,57.883
57882863,1,-90,214,442,98,121,-96,0,0,0,1,57882859,57.883
57882863,2,-222,268,340,0,0,0,0,0,0,1,57882857,57.883
57982868,0,-87,260,455,7,3,-176,0,0,0,1,57982866,57.983
57982868,1,-88,209,445,98,121,-96,0,0,0,1,57982864,57.983
57982868,2,-216,237,339,0,0,0,0,0,0,1,57982862,57.983
58082897,0,-86,257,455,7,3,-176,0,0,0,1,58082895,58.083
58082897,1,-91,209,446,98,121,-96,0,0,0,1,58082893,58.083
58082897,2,-247,231,358,0,0,0,0,0,0,1,58082892,58.083
58182846,0,-93,261,452,7,3,-176,0,0,0,1,58182844,58.183
58182846,1,-96,213,447,98,121,-96,0,0,0,1,58182842,58.183
58182846,2,-246,290,342,0,0,0,0,0,0,1,58182840,58.183
58282888,0,-89,257,452,7,3,-176,0,0,0,1,58282886,58.283
58282888,1,-91,211,447,98,121,-96,0,0,0,1,58282884,58.283
58282888,2,-241,257,335,0,0,0,0,0,0,1,58282883,58.283
58382804,0,-86,253,449,7,3,-176,0,0,0,1,58382803,58.383
58382804,1,-92,209,444,98,121,-96,0,0,0,1,58382801,58.383
58382804,2,-236,240,327,0,0,0,0,0,0,1,58382798,58.383
58482849,0,-90,259,455,7,3,-176,0,0,0,1,58482847,58.483
58482849,1,-97,209,446,98,121,-96,0,0,0,1,58482838,58.483
58482849,2,-208,233,369,0,0,0,0,0,0,1,58482825,58.483
58582825,0,-92,256,450,7,3,-176,0,0,0,1,58582824,58.583
